71000,0.40695912698412695,0.556,0.56,0.539,0.537,0.564,0.542,0.548,0.513,0.5,0.51
72000,0.40733511904761904,0.558,0.558,0.537,0.534,0.566,0.542,0.547,0.516,0.503,0.512
73000,0.40708281746031744,0.552,0.558,0.536,0.539,0.564,0.546,0.547,0.516,0.502,0.514
74000,0.40757710317460316,0.553,0.559,0.538,0.536,0.568,0.543,0.548,0.516,0.504,0.51
75000,0.40798,0.551,0.56,0.538,0.538,0.57,0.543,0.545,0.516,0.501,0.513
76000,0.4099082936507937,0.552,0.561,0.54,0.535,0.569,0.547,0.551,0.518,0.506,0.515
77000,0.4100200396825397,0.549,0.563,0.537,0.534,0.57,0.547,0.55,0.522,0.504,0.513
78000,0.4105781746031746,0.553,0.564,0.535,0.535,0.569,0.548,0.551,0.52,0.501,0.514
79000,0.4089096825396825,0.55,0.563,0.534,0.537,0.565,0.546,0.549,0.517,0.503,0.515
80000,0.4097012698412698,0.548,0.564,0.535,0.54,0.566,0.546,0.551,0.518,0.507,0.517
81000,0.40938611111111106,0.552,0.559,0.535,0.54,0.561,0.547,0.549,0.52,0.505,0.523
82000,0.4087870238095238,0.551,0.56,0.534,0.536,0.559,0.549,0.552,0.52,0.507,0.519
83000,0.4068240873015873,0.551,0.554,0.534,0.536,0.56,0.549,0.549,0.514,0.504,0.52
84000,0.40580325396825395,0.555,0.551,0.533,0.535,0.559,0.546,0.548,0.513,0.501,0.518
85000,0.40575964285714283,0.557,0.551,0.532,0.533,0.556,0.539,0.552,0.513,0.502,0.522
86000,0.4044219841269841,0.558,0.554,0.525,0.532,0.552,0.54,0.549,0.514,0.503,0.519
87000,0.4039490873015873,0.557,0.548,0.529,0.527,0.558,0.536,0.542,0.51,0.508,0.519
88000,0.4053765476190476,0.555,0.547,0.528,0.532,0.563,0.535,0.545,0.51,0.508,0.518
89000,0.40664873015873015,0.557,0.547,0.53,0.534,0.562,0.533,0.547,0.51,0.51,0.519
90000,0.4063854761904762,0.555,0.549,0.529,0.531,0.56,0.533,0.549,0.511,0.51,0.52
91000,0.4076598015873016,0.557,0.55,0.531,0.533,0.561,0.533,0.552,0.512,0.506,0.518
